bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,replyRegDate,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
45713,5172397,선생님이 바뀌었네요.. 그냥 그랬어요.,3,1,"고객님  
처음 보시던 이혜진원장님은 현재 진료가 없는 부분으로 의료진이 변경 되었습니다. 아무래도 보시던 원장님이 아니어서 낯선 느낌이 있으셨던듯 합니다 
다음 내원시에는  불편사항 없으시도록  최대한 신경쓰겠습니다.",2019.06.07 16:56:53,,2019.05.23,ddud****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,선생님이 바뀌었네요.. 그냥 그랬어요.
45713,5167060,이진웅 원장님~ 김나리 피부관리사님 매우 만족 스럽스럽니다^^ 어제 한번의 치료로도 아침에 안색이 밝아져 보입니다~ 꾸준히 치료받아서 피부미인 꼭 되볼께요^^,5,1,"고객님 치료가 만족스러웠다고 하시니 저희도 너무 감사드립니다^^
앞으로도  고객님의 피부충전소가 될수있도록 최선을 다하겠습니다
2주후 내원일에 뵙도록 할께요^^",2019.05.24 17:00:23,,2019.05.23,hana****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,이진웅 원장님~ 김나리 피부관리사님 매우 만족 스럽스럽니다^^ 어제 한번의 치료로도 아침에 안색이 밝아져 보입니다~ 꾸준히 치료받아서 피부미인 꼭 되볼께요^^
45713,4562909,"예약한 시간보다 20분정도 기다려야해서 좀 그랬는데 선생님이 친절하셔서 좋았습니다. 간단한 진료였는데 설명도 자세히 해주시고, 감사합니다!",4,1,안녕하세요~ 당일 예약시 기존 예약 현황에 추가로 도와드리는 부분으로 대기시간이 발생할 수 있습니다.  긴 대기시간 양해해주셔서 감사합니다!,2019.04.01 16:20:54,,2019.03.27,kdbe****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,"예약한 시간보다 20분정도 기다려야해서 좀 그랬는데 선생님이 친절하셔서 좋았습니다. 간단한 진료였는데 설명도 자세히 해주시고, 감사합니다!"
45713,4495171,선생님들 너무 친절하시고 유의사항도 항상 알려주시고 그러셔서 여기만 찾게되요!,5,1,안녕하세요. 소중한 의견 감사드립니다^^,2019.03.22 11:49:00,,2019.03.19,leey****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,선생님들 너무 친절하시고 유의사항도 항상 알려주시고 그러셔서 여기만 찾게되요!
45713,4380547,"과잉진료없이 갈때마다 위안되요
쌤말대로 꼭 좋아졌음 좋겟어요♡",4,1,안녕하세요~ 저희도 하루빨리 좋아지시길 바라겠습니다 :)♡,2019.03.08 15:30:21,,2019.03.06,bjlo****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,"과잉진료없이 갈때마다 위안되요
쌤말대로 꼭 좋아졌음 좋겟어요♡"
45713,4329794,이혜진 원장님께 진료 받는데 항상 친절하시고 꼼꼼하고 자세히 설명해 주셔서 좋아요. 아이 피부 때문에 가는데 너무 스트레스 받지 말고 차근차근 치료해보면 된다고 해주시니 힘도 나고 든든하네요. 감사해요!,5,1,안녕하세요~ 리뷰감사합니다. 미세먼지 많은 요즘 피부건강도 유의해주세요^^♡,2019.03.06 13:00:50,,2019.02.27,bunn****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,이혜진 원장님께 진료 받는데 항상 친절하시고 꼼꼼하고 자세히 설명해 주셔서 좋아요. 아이 피부 때문에 가는데 너무 스트레스 받지 말고 차근차근 치료해보면 된다고 해주시니 힘도 나고 든든하네요. 감사해요!
45713,4286026,"원하던 원장님은 아니였지만 만족했습니다.
여기다니면서 피부염 완치했으면해요
서비스도 좋고 원장님 응대도 매우 좋았습니다!",4,1,안녕하세요~ 소중한 의견 감사합니다. 오늘 예약시간에 뵙겠습니다.^^♡,2019.02.27 10:11:47,,2019.02.25,bjlo****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,"원하던 원장님은 아니였지만 만족했습니다.
여기다니면서 피부염 완치했으면해요
서비스도 좋고 원장님 응대도 매우 좋았습니다!"
45713,4404697,서비스가 언제나 최고,5,1,"안녕하세요, 정찬호님~ 리뷰 감사합니다♡  잠시 후에 또 뵙겠습니다^^",2019.03.11 10:14:54,,2019.02.13,hype****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,서비스가 언제나 최고
45713,3952190,몇년째 다니고 있지만 항상 만족합니다 친절하게 상담도 잘해주시고 관리사선생님들도 정말 친절하세요~,5,1,안녕하세요^^ 내원하실 때매다 저희도 항상 반갑습니다~ 오랜시간 저희 클린업과 함께해주셔서 감사드려요:)♡,2019.01.22 14:55:31,,2019.01.17,kumm****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,몇년째 다니고 있지만 항상 만족합니다 친절하게 상담도 잘해주시고 관리사선생님들도 정말 친절하세요~
45713,3932727,"김지영 선생님? 여자선생님께 진료받으러 갔는데 오늘은 안계신대서 남자선생님께 진료 받았어요. 갑작스럽게 얼굴을 뒤덮은 여드름 때문에 방문했는데 진료만 의사선생님이 해주시고 나머지 여드름 압출부터 케어까지 핑크옷 입으신 분(간호 조무사?)이 해주셨어요. 의사선생님은 한번도 들어오시지 않았습니다...타병원간 친구는 의사선생님이 압출하면서 상태를 봐주셨다 하는데 그점이아쉬웠네요. 
그외엔 다 친절하셨고 케어도 좋았습니다.",3,1,"안녕하세요 고객님~ 김지영원장님께 진료를  원하셨는데  진료보신날은 김지영원장님 휴진일이어서 도와드리지 못했네요 그부분은  저희도 안타깝게 생각하고있습니다^^;;
가려움을 동반한 구진성 염증이 있으셨던것으로 진료후 여드름 기본치료를 하셨네요.
저희 병원은  여드름 압출을 포함한 기본치료는  5년이상 경력의 에스테티션 선생님들께서 진행하고 있습니다. 한분 한분의 소중한 피부를 최선을 다해 관리하고 있으니 다소 아쉬움이 있었더라도 양해부탁드립니다^^ 
소중한 의견 감사드리고 다음 내원하셨을때는 좀 더 상세한  설명과 안내로 도와드리겠습니다.
",2019.01.22 14:50:28,,2019.01.15,2110****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,"김지영 선생님? 여자선생님께 진료받으러 갔는데 오늘은 안계신대서 남자선생님께 진료 받았어요. 갑작스럽게 얼굴을 뒤덮은 여드름 때문에 방문했는데 진료만 의사선생님이 해주시고 나머지 여드름 압출부터 케어까지 핑크옷 입으신 분(간호 조무사?)이 해주셨어요. 의사선생님은 한번도 들어오시지 않았습니다...타병원간 친구는 의사선생님이 압출하면서 상태를 봐주셨다 하는데 그점이아쉬웠네요. 
그외엔 다 친절하셨고 케어도 좋았습니다."
45713,3827585,회사 근처라서 간단한 진료 보러 가는데 여자선생님 항상 친절하세요 ㅎㅎ,5,1,안녕하세요~ 소중한 리뷰 감사드립니다. 새해 복 많이 받으세요~^^,2019.01.04 12:16:48,,2018.12.31,skzz****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,회사 근처라서 간단한 진료 보러 가는데 여자선생님 항상 친절하세요 ㅎㅎ
45713,3366997,친절한데 패키지를 권하는 느낌이라 별 두개 뺌 가격 여쭤봤더니 카운터가서 물어보라 그럼 7.7부터 시작. 그냥 압출하는 것도 7.7이 젤 싼거,3,1,"고객님 소중한 의견 감사드립니다. 관리는 패키지로 진행하실 경우, 할인혜택을 적용해드릴 수 있는 부분이 있어  안내 도와드렸는데 불편감을 드렸다면 죄송합니다^^;;
또한  압출만 진행시에는 좀 더  적은 비용으로  적용되는 부분 또한 다시 안내드립니다. 다음 내원시에는  좀 더 상세한 안내도와드리겠습니다. 다시 한번 소중한 의견 감사드립니다.
",2018.11.02 19:36:04,,2018.10.30,sdy5****,CU클린업피부과 명동점,클린업피부과의원 명동점,,false,친절한데 패키지를 권하는 느낌이라 별 두개 뺌 가격 여쭤봤더니 카운터가서 물어보라 그럼 7.7부터 시작. 그냥 압출하는 것도 7.7이 젤 싼거
