bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,replyRegDate
45195,7034934,친절하시고 좋았어요,5,1,,,2019.10.01,spir****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,친절하시고 좋았어요,
45195,7024651,항상 친절하신 원장님과 직원분들!! 무조건 씨유클린업피부과 청담점을 찾는이유!!,5,1,,,2019.09.30,chuc****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,항상 친절하신 원장님과 직원분들!! 무조건 씨유클린업피부과 청담점을 찾는이유!!,
45195,6897899,매주 가고싶은데 자주 못가서 아쉬워요. 항상 다녀오면 얼굴이 빛나요~! 감사합니다. ^^,5,1,,,2019.09.21,ahm9****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,매주 가고싶은데 자주 못가서 아쉬워요. 항상 다녀오면 얼굴이 빛나요~! 감사합니다. ^^,
45195,6762291,예약했는데도 대기를 삼십분을 넘게했어요... 추석있는주라 그러셨다곤 했는데.. 대기석에앉아있던 절 잊어버리신건 아닌가 싶어서 외로웠네요. 안내는 친절하게 해주셨고 무엇보다 의사선생님 몹시 친근하시고 삼촌같네여... 선생님 좋아서 또올게요.,5,1,,,2019.09.09,sh40****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,예약했는데도 대기를 삼십분을 넘게했어요... 추석있는주라 그러셨다곤 했는데.. 대기석에앉아있던 절 잊어버리신건 아닌가 싶어서 외로웠네요. 안내는 친절하게 해주셨고 무엇보다 의사선생님 몹시 친근하시고 삼촌같네여... 선생님 좋아서 또올게요.,
45195,6683970,"발렛 편하고 선생님 너무 좋으시고
여드름때문에 가서 gold ptt랑 흔적 레이져 했는데 다음 ~~날 놀랐음|
하루만에 차도가 있어요~~
완전 만족~~",5,1,,,2019.09.02,drin****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,"발렛 편하고 선생님 너무 좋으시고
여드름때문에 가서 gold ptt랑 흔적 레이져 했는데 다음 ~~날 놀랐음|
하루만에 차도가 있어요~~
완전 만족~~",
45195,6642667,십년가까이 다니는곳.,5,1,,,2019.08.31,ssal****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,십년가까이 다니는곳.,
45195,6320373,"원장님과 간호사선생님 친절하시고 과잉진료도 없구요. 실력도 좋으시네요. 
신뢰감이 있네요. ^^ 동네에 편한 피부과 생긴 듯 합니다.",5,1,,,2019.08.09,gang****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,"원장님과 간호사선생님 친절하시고 과잉진료도 없구요. 실력도 좋으시네요. 
신뢰감이 있네요. ^^ 동네에 편한 피부과 생긴 듯 합니다.",
45195,3085328,"봄, 가을로 일년에 두번정도 레이저 시술받으러가는데 매번 원장님께서 진료, 시술 친절히 해주셔서 믿음이 갑니다~^^",5,1,,,2018.09.17,mins****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,"봄, 가을로 일년에 두번정도 레이저 시술받으러가는데 매번 원장님께서 진료, 시술 친절히 해주셔서 믿음이 갑니다~^^",
45195,2482221,친절한 상담해주셔서 감사했어요,5,1,,,2018.06.15,chli****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,친절한 상담해주셔서 감사했어요,
45195,1851010,압출도 확실하고 엄청 친절해서 좋아요^^,5,1,"감사합니다 보미님*^^* 고객님의 칭찬에 오늘도 힘이 납니다!
앞으로도 친절한 청담점이 되겠습니다 보미님^^ 오늘도 좋은 하루되세요~♥",,2018.02.19,aldi****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,압출도 확실하고 엄청 친절해서 좋아요^^,2018.02.27 09:55:45
45195,1451005,미용 목적이 아닌 일반 진료도 봐주셔서 좋았어요,4,1,,,2017.05.17,2oh9****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,미용 목적이 아닌 일반 진료도 봐주셔서 좋았어요,
45195,362236,"선생님 쏘쿨이네요

설 연휴에도 해서 참 다행이었다는ㅋ",5,1,감사합니다 *^^* 앞으로도 더 노력하는 쏘쿨~청담CU클린업피부과되겠습니다!,,2017.01.30,assz****,CU클린업피부과 청담점,CU클린업피부과의원 청담점,,false,"선생님 쏘쿨이네요

설 연휴에도 해서 참 다행이었다는ㅋ",2017.01.31 19:14:37
