bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,replyRegDate,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,resourceUrlList/1
250352,7743233,"깔끔한 분위기에 한번 놀라고 친절한 진료에 한번 더 놀랐습니다^^
치과갈때 항상 머뭇거리는게 사실인데 오늘하루치과 너무 편안한 진료에 다음 방문땐 즐겁게 찾을수 있을것 같아요 ㅎㅎㅎ 
어제 너무 감사했습니다.",5,1,"좋은글~ 너무 감사드립니다.
만족 하셨다니 저희도 기분 너무 좋습니다.
다음 정기검진때 또 뵙겠습니다.
감사합니다^^",2019.11.21 16:40:59,,2019.11.20,yllk****,오늘하루치과의원,오늘하루치과의원,,false,"깔끔한 분위기에 한번 놀라고 친절한 진료에 한번 더 놀랐습니다^^
치과갈때 항상 머뭇거리는게 사실인데 오늘하루치과 너무 편안한 진료에 다음 방문땐 즐겁게 찾을수 있을것 같아요 ㅎㅎㅎ 
어제 너무 감사했습니다.",
250352,7744077,"출산하고 오래갓만에 방문한 치과.
불안하고 초조한건 저뿐만은 아니죠.
이수역 7번출구 메가박스건물에 위치한 오늘하루치과.
2015년 사당역에 있었다가 이전한지 얼마안되지만 다행히 집과 멀지않아서 재방문했습니다.
인테리어도 깨끗하고 깔끔.
직원분들과 원장님도 친절.
무엇보다 아프지않게 치과검진해주신게 가장 칭찬합니다.
제가 치아교정중이라 항상 충치가 걱정인데
2015년에 비해 변화가 별루없다고해서 한시름 놓고 스켈링만 받았네요.
다들 아시겠지만, 스켈링만으로도 살떨리는데... 오늘하루치과는 구강마취액을 사용해서 스켈링받는 동안에도 전혀 불편한게 없어요. 진짜 대박 칭찬합니다.^^
그리고 타병원에서 교정받았지만 이부분도 같이 봐주시더라고요.
진심 무리한 검진으로 인한 비용부담도 없이 너무 편하게 잘받고왔습니다",5,1,"6개월마다 오셔서 검진하시고, 스켈링하시는거만으로도 건강한치아유지하는데 많은 도움이됩니다^_____^ 불편감없이 진료 받으셨다고하시니, 너무 다행이에요~ 다음 정기검진 때 뵙겠습니다!",2019.11.21 20:44:25,,2019.11.20,jjom****,오늘하루치과의원,오늘하루치과의원,,false,"출산하고 오래갓만에 방문한 치과.
불안하고 초조한건 저뿐만은 아니죠.
이수역 7번출구 메가박스건물에 위치한 오늘하루치과.
2015년 사당역에 있었다가 이전한지 얼마안되지만 다행히 집과 멀지않아서 재방문했습니다.
인테리어도 깨끗하고 깔끔.
직원분들과 원장님도 친절.
무엇보다 아프지않게 치과검진해주신게 가장 칭찬합니다.
제가 치아교정중이라 항상 충치가 걱정인데
2015년에 비해 변화가 별루없다고해서 한시름 놓고 스켈링만 받았네요.
다들 아시겠지만, 스켈링만으로도 살떨리는데... 오늘하루치과는 구강마취액을 사용해서 스켈링받는 동안에도 전혀 불편한게 없어요. 진짜 대박 칭찬합니다.^^
그리고 타병원에서 교정받았지만 이부분도 같이 봐주시더라고요.
진심 무리한 검진으로 인한 비용부담도 없이 너무 편하게 잘받고왔습니다",
250352,7731652,원장선생님 너무 친절하시고 잘 설명해 주셔서 바로 발치하고 임플란트치료 시작했습니다 믿음이 가고 모두들 친절하십니다 그리고 비용도 합리적이어서 매우 만족합니다,5,1,"멀리서 내원 해주셨는데 좋은 글 감사드립니다.
앞으로 남은 치료도 정성을 다해 보답드리겠습니다^^
좋은 하루 되세요~ 감사합니다.",2019.11.21 16:30:28,,2019.11.19,hpls****,오늘하루치과의원,오늘하루치과의원,,false,원장선생님 너무 친절하시고 잘 설명해 주셔서 바로 발치하고 임플란트치료 시작했습니다 믿음이 가고 모두들 친절하십니다 그리고 비용도 합리적이어서 매우 만족합니다,
250352,7741557,원래 다니던 곳이에요. 집 근처였는데 이전해서 많이 아쉽지만 친절하게 잘 해 주셔서 또 찾아왔습니다~,5,1,"이전해서 거리가 불편하실수있지만, 좀 더 좋은환경에서 좋은진료해드리겠습니다^^ 정기검진때뵐게요^^",2019.11.21 20:41:31,,2019.11.18,kimh****,오늘하루치과의원,오늘하루치과의원,,false,원래 다니던 곳이에요. 집 근처였는데 이전해서 많이 아쉽지만 친절하게 잘 해 주셔서 또 찾아왔습니다~,
250352,7530687,너무 친절하고 깨끗합니다 로비는 호텔같아요^^,5,1,"감사합니다^______^ 깨끗하고, 건강한 치아를 유지하기위해, 정기검진때도 내원해주세요~",2019.11.07 20:28:39,,2019.11.06,jspd****,오늘하루치과의원,오늘하루치과의원,,false,너무 친절하고 깨끗합니다 로비는 호텔같아요^^,
250352,7553993,스케일링 받으러갔었는데 치위생사분이 넘 친절하시구 꼼꼼하게 안아푸게 해주셨어용 다음에 또 갈 생각입니당 ^______^,5,1,"칭찬해주셔서,감사합니다^^ 1년에 한번은 스켈링 보험적용되니, 정기적으로 꼭 받으세요 ~~6개월 뒤 연락드리겠습니다! ",2019.11.08 17:08:13,,2019.11.01,peri****,오늘하루치과의원,오늘하루치과의원,,false,스케일링 받으러갔었는데 치위생사분이 넘 친절하시구 꼼꼼하게 안아푸게 해주셨어용 다음에 또 갈 생각입니당 ^______^,
250352,7450579,원장님이랑 치위생사분들이 친절하게 대해주셔서 마음 편하게 진료 받았어요. 저 치과 무서워하는데 ㅠㅠ 괜찮았습니다,5,1,"치과도 두렵지 않고 좋은 추억의 장소가 될수있도록~ 원장님및 직원모두가 항상 친절함을 잃지 않도록 하겠습니다.
이젠 더이상 무서워 마세요~ 감사합니다.",2019.10.31 20:11:05,,2019.10.30,code****,오늘하루치과의원,오늘하루치과의원,,false,원장님이랑 치위생사분들이 친절하게 대해주셔서 마음 편하게 진료 받았어요. 저 치과 무서워하는데 ㅠㅠ 괜찮았습니다,
250352,7436893,스케일링 받았는데 다른곳 보다 덜시린데도 깔끔한 느낌을 받았어요. 친절하게 치아상태도 말씀해주시고 다른 곳에서 치료한곳도 한번더 봐주시고 정말 좋았습니다 치과 이리저리 다니며 맘에드는 곳 찾기 힘들었는데 정말 만족했습니다,5,1,"스켈링이 많이 시려서 두려워 하시는분들이 많으신데..저희치과에서는 그런분들을 위한 통증을 줄여드리는 가그린을 준비 했습니다.
편안한 스켈링이 되도록 항상 노력하는 치과가 되겠습니다.감사합니다. ",2019.10.31 17:33:28,,2019.10.29,leek****,오늘하루치과의원,오늘하루치과의원,,false,스케일링 받았는데 다른곳 보다 덜시린데도 깔끔한 느낌을 받았어요. 친절하게 치아상태도 말씀해주시고 다른 곳에서 치료한곳도 한번더 봐주시고 정말 좋았습니다 치과 이리저리 다니며 맘에드는 곳 찾기 힘들었는데 정말 만족했습니다,
250352,7426245,원래 치과랑 별로 안친한데 치료해주신 원장님도 그렇고 직원분들 모두 긴장안하고 진료볼수있게 도와주셔서 무사히 잘 마치고 돌아올수 있었어요. 곧 큰딸 유치 빼러 가야하는데 그때도 이용하면 좋을것 같아요.,5,1,치과는 무섭고 두려운 곳으로 생각하시는분들이 많으시죠?그래서 특별히 아로마 향도 마련하고 따뜻한 조명으로 긴장감을 줄여드리려 신경쓰고 있습니다.앞으로도 더~ 친절하게 더~아프지 않게 하려고 노력 하겠습니다. 믿고 찾아주셔서 감사합니다.,2019.10.31 17:22:33,,2019.10.28,ilsh****,오늘하루치과의원,오늘하루치과의원,,false,원래 치과랑 별로 안친한데 치료해주신 원장님도 그렇고 직원분들 모두 긴장안하고 진료볼수있게 도와주셔서 무사히 잘 마치고 돌아올수 있었어요. 곧 큰딸 유치 빼러 가야하는데 그때도 이용하면 좋을것 같아요.,
250352,7514402,"친절한 응대 , 빠른 진료. 깨끗한 시설.
늘 만족도가 높습니다.",5,1,"칭찬은 '고래도 춤추게 한다고 하는데 ' 정말 기운이 납니다.
항상 만족하실수 있도록  좋은 진료로 보답드리겠습니다.
오늘도 좋은 하루 되십시오~ 감사합니다^^",2019.11.05 10:22:33,,2019.10.26,kids****,오늘하루치과의원,오늘하루치과의원,,false,"친절한 응대 , 빠른 진료. 깨끗한 시설.
늘 만족도가 높습니다.",
