bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
224483,7739024,편하게 치료받고왔습니다!,5,1,,,2019.11.18,jung****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,편하게 치료받고왔습니다!
224483,7752901,"대기환자가 많은 이유가 있는 치과.
오래 기다려야하는 것만 빼면 다 좋아요.",5,1,,,2019.11.16,fusi****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"대기환자가 많은 이유가 있는 치과.
오래 기다려야하는 것만 빼면 다 좋아요."
224483,7668450,예약하는 것부터 친절하게 처리해주셨구요. 예약하고 갔을 때 진료 해주시던 분들께서 잘 치료해주셔서 좋았어요,5,1,,,2019.11.15,lee_****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,예약하는 것부터 친절하게 처리해주셨구요. 예약하고 갔을 때 진료 해주시던 분들께서 잘 치료해주셔서 좋았어요
224483,7481965,친절하고 설명도 잘새주셔서 좋았어요.,4,1,,,2019.11.02,jkki****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,친절하고 설명도 잘새주셔서 좋았어요.
224483,7331780,평이 좋아서 방문했는데 이때까지 다녔던 치과중에 제일인 것 같아요 눈높이에 맞춰서 상담도 잘해주시고 모두들 친절하셨어요! 감사합니다!!^^,5,1,,,2019.10.22,flyh****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,평이 좋아서 방문했는데 이때까지 다녔던 치과중에 제일인 것 같아요 눈높이에 맞춰서 상담도 잘해주시고 모두들 친절하셨어요! 감사합니다!!^^
224483,7343001,"사랑니가 아프고 스켈링 할 때가 되어 갔습니다.  

간호사 선생님의 친절한 설명과 꼼꼼한 스켈링으로 아프지 않게 스켈링을 받을 수 있었습니다. 더불어 치아 전체에 대한 자세한 설명을 들을 수 있었으며 만족스러웠습니다. 
사랑니는 뽑을 때 주변에서 너무 아프다는 소리를 들러 겁을 많이 먹었지만, 선생님께서 환자를 배려하고 부드럽고 조심스럽게 진행해 주셔서  마음의 안정을 느끼며 발치했습니다. 

치아 전반에 대한 진료 또한 만족스러웠습니다. 충치가 있어, 의료보험 적용 관련된 내용도 자세하게 안내해 주셔서 과잉진료 없이 치료 받았습니다.  

여러모로 환자 중심에서 배려하고 이해해주셔서 의사선생님, 간호사선생님, 의료환경이 마음에 들었습니다.",5,1,,,2019.10.21,lol2****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"사랑니가 아프고 스켈링 할 때가 되어 갔습니다.  

간호사 선생님의 친절한 설명과 꼼꼼한 스켈링으로 아프지 않게 스켈링을 받을 수 있었습니다. 더불어 치아 전체에 대한 자세한 설명을 들을 수 있었으며 만족스러웠습니다. 
사랑니는 뽑을 때 주변에서 너무 아프다는 소리를 들러 겁을 많이 먹었지만, 선생님께서 환자를 배려하고 부드럽고 조심스럽게 진행해 주셔서  마음의 안정을 느끼며 발치했습니다. 

치아 전반에 대한 진료 또한 만족스러웠습니다. 충치가 있어, 의료보험 적용 관련된 내용도 자세하게 안내해 주셔서 과잉진료 없이 치료 받았습니다.  

여러모로 환자 중심에서 배려하고 이해해주셔서 의사선생님, 간호사선생님, 의료환경이 마음에 들었습니다."
224483,7253661,담당 의사 선생님과 간호사 선생님이 너무 친절했어요. 의사 선생님은 치료중 자세히 설명 하시면서 조심조심 아프지않게 잘 치료해 주셔서 너무 좋았습니다. 다음 진료시간에 뵙겠습니다 ^^!,5,1,,,2019.10.16,cjsc****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,담당 의사 선생님과 간호사 선생님이 너무 친절했어요. 의사 선생님은 치료중 자세히 설명 하시면서 조심조심 아프지않게 잘 치료해 주셔서 너무 좋았습니다. 다음 진료시간에 뵙겠습니다 ^^!
224483,7179367,"친절하게 설명해주시고 , 치료도 많이 아프지 않고 , 제 특이사항을 잘 알아두셨다가 치료하실때 
참고해주신 부분이 아주 마음에 들었습니다 감사합니다",4,1,,,2019.10.11,qldr****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"친절하게 설명해주시고 , 치료도 많이 아프지 않고 , 제 특이사항을 잘 알아두셨다가 치료하실때 
참고해주신 부분이 아주 마음에 들었습니다 감사합니다"
224483,7318540,후기가 많이 없어서 걱정했는데 친절하시고 사랑니 금방 빼 주셨어요. 많이 붓지도 않았고 아프지 않고 일요일에도 영업한다는 점이 좋았습니다.,5,1,,,2019.10.06,toma****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,후기가 많이 없어서 걱정했는데 친절하시고 사랑니 금방 빼 주셨어요. 많이 붓지도 않았고 아프지 않고 일요일에도 영업한다는 점이 좋았습니다.
224483,6915307,직원분들이 모두 밝고 친절합니다^^,5,1,,,2019.09.22,riki****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,직원분들이 모두 밝고 친절합니다^^
224483,6919086,토요일에 교정장치가 떨어져서 일요일에 급히 가야했는데 아주 만족스러웠습니다. 쾌적한 시설과 원장 선생님도 좋고 능숙하고 친절한 치위생사 선생님 그리고 실장님이 기억에 남습니다. 일요일에도 진료해주셔서 고맙습니다!,5,1,,,2019.09.22,sy_4****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,토요일에 교정장치가 떨어져서 일요일에 급히 가야했는데 아주 만족스러웠습니다. 쾌적한 시설과 원장 선생님도 좋고 능숙하고 친절한 치위생사 선생님 그리고 실장님이 기억에 남습니다. 일요일에도 진료해주셔서 고맙습니다!
224483,6783789,"15년 넘게 다니던 치과를 이사한 관계로
스켈링하며 분위기 보러 왔다가
원장님과 치위생사님의 상세한 진료설명과
친절함에 치료예약 후 치료중 입니다",5,1,,,2019.09.06,happ****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"15년 넘게 다니던 치과를 이사한 관계로
스켈링하며 분위기 보러 왔다가
원장님과 치위생사님의 상세한 진료설명과
친절함에 치료예약 후 치료중 입니다"
224483,6652107,필요한 치료의 리스트 및 우선순위 정해서 설명해주시고 각 치료 보험 적용 여부 및 대략적인 금액도 친절하게 설명해주셔서 좋았어요,5,1,,,2019.09.01,ysj9****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,필요한 치료의 리스트 및 우선순위 정해서 설명해주시고 각 치료 보험 적용 여부 및 대략적인 금액도 친절하게 설명해주셔서 좋았어요
224483,6763769,친절하고 쾌적하고 맘에들았어요~^^,4,1,,,2019.08.24,newz****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,친절하고 쾌적하고 맘에들았어요~^^
224483,6497360,"스케일링 받고 왔는데, 친절하게 잘 해주셨어요",5,1,,,2019.08.23,flow****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"스케일링 받고 왔는데, 친절하게 잘 해주셨어요"
224483,6499826,"9살 딸아이의 양쪽 아래 어금니 부분이 심하게 썩어서 신경치료까지 생각하고 찾아갔습니다..
하지만 선생님께서 유치니까 최대한 충치를 긁어내고 신경치료는 마지막으로 생각해 보자고 하셨습니다..무서워하는 아이를 부드럽게 잘 해주셔서 우리 딸 마취주사도 너무나 씩씩하게 잘 맞고 치료도 아주 잘 받았습니다..
오히려 제가 더 걱정했던 것이 부끄러울 정도였습니다..씩씩하게 치료 잘 받았다고 가글 선물도 주시더군요..얼마나 감사하던지..
의사선생님 이하 모든 직원들이 친절하고 병원도 깨끗해서 정말 좋았습니다..
화목 야간진료에, 일요일도 격주 진료이기 때문에 직장맘으로써 정말 든든합니다..^^",5,1,,,2019.08.22,juju****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"9살 딸아이의 양쪽 아래 어금니 부분이 심하게 썩어서 신경치료까지 생각하고 찾아갔습니다..
하지만 선생님께서 유치니까 최대한 충치를 긁어내고 신경치료는 마지막으로 생각해 보자고 하셨습니다..무서워하는 아이를 부드럽게 잘 해주셔서 우리 딸 마취주사도 너무나 씩씩하게 잘 맞고 치료도 아주 잘 받았습니다..
오히려 제가 더 걱정했던 것이 부끄러울 정도였습니다..씩씩하게 치료 잘 받았다고 가글 선물도 주시더군요..얼마나 감사하던지..
의사선생님 이하 모든 직원들이 친절하고 병원도 깨끗해서 정말 좋았습니다..
화목 야간진료에, 일요일도 격주 진료이기 때문에 직장맘으로써 정말 든든합니다..^^"
224483,6445204,"평일에 아이 이빨이 조금 흔들렸는데 토요일아침에 너무 아프고 불편하다고 힘들어해서 일요일 검진예약후 방문했습니다. 직원분들 너무~~친절하시고 선생님께서도 아이를 너무 잘 안정시켜주셔서...
첫 발치임에도 울지도 않고 금방 성공했습니다^^
너무 좋으신거 같아 저도 다음주에 예약하고 왔네요!",5,1,,,2019.08.18,ieun****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"평일에 아이 이빨이 조금 흔들렸는데 토요일아침에 너무 아프고 불편하다고 힘들어해서 일요일 검진예약후 방문했습니다. 직원분들 너무~~친절하시고 선생님께서도 아이를 너무 잘 안정시켜주셔서...
첫 발치임에도 울지도 않고 금방 성공했습니다^^
너무 좋으신거 같아 저도 다음주에 예약하고 왔네요!"
224483,6444204,매우 만족합니다,5,1,,,2019.08.18,cbgw****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,매우 만족합니다
224483,6425335,친절하고 꼼꼼하게 봐주셔서 넘 만족입니당:),5,1,,,2019.08.18,hann****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,친절하고 꼼꼼하게 봐주셔서 넘 만족입니당:)
224483,6267882,"지인추천 받아서 다녀왔는데 데스크직원분부터
선생님들도 다 친절하시고 정말 기분좋게 치료받고
왔네요. 충치 2개 있다고해서 치료견적 받았는데
보험/비보험 나눠서 말씀해주시고 정말 과잉진료없이
안내받았습니다.
저희동네 모치과 보다 가격이 몇십배 저렴하더라구요.
이런 치과가 더 흥하고 더 많아졌으면 좋겠습니다
감사합니다 !",5,1,,,2019.08.10,zzan****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"지인추천 받아서 다녀왔는데 데스크직원분부터
선생님들도 다 친절하시고 정말 기분좋게 치료받고
왔네요. 충치 2개 있다고해서 치료견적 받았는데
보험/비보험 나눠서 말씀해주시고 정말 과잉진료없이
안내받았습니다.
저희동네 모치과 보다 가격이 몇십배 저렴하더라구요.
이런 치과가 더 흥하고 더 많아졌으면 좋겠습니다
감사합니다 !"
224483,6249075,스케일링 잘 받았습니다:),5,1,,,2019.08.08,heej****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,스케일링 잘 받았습니다:)
224483,6179909,"카운터에 직원분 매우 친절하시고
간호사님 스케일링 꼼꼼하게 잘해주시고
의사선생님 상담도 맘편하게 잘받았습니다
조만간 사랑니 뽑으러 재방문 하려구요",5,1,,,2019.08.02,ehdw****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"카운터에 직원분 매우 친절하시고
간호사님 스케일링 꼼꼼하게 잘해주시고
의사선생님 상담도 맘편하게 잘받았습니다
조만간 사랑니 뽑으러 재방문 하려구요"
224483,6083924,시설도 깔끔하고 친절하셔서 진료 잘 받고 왔습니다!,5,1,,,2019.07.31,dorw****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,시설도 깔끔하고 친절하셔서 진료 잘 받고 왔습니다!
224483,5926602,친절친절친절합니다,5,1,,,2019.07.21,hk15****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,친절친절친절합니다
224483,5773725,친절하게 상담해주시고 치료도 아프지 않게 잘 해주셨어요,5,1,,,2019.07.09,dbth****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,친절하게 상담해주시고 치료도 아프지 않게 잘 해주셨어요
224483,5846598,스케일링 했고 제 치아 상태를 전체적으로 점검해주셔서 어떤 치료가 필요한지 잘 알게 되었습니다. 건물은 낡았지만 내부는 아주 깔끔해서 좋았어요,5,1,,,2019.07.09,kyud****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,스케일링 했고 제 치아 상태를 전체적으로 점검해주셔서 어떤 치료가 필요한지 잘 알게 되었습니다. 건물은 낡았지만 내부는 아주 깔끔해서 좋았어요
224483,5668787,"병원이 매우 깔끔합니다.
그리고 선생님들도 친절하게 설명해주시고 치료해주셔서 너무 만족합니다.",5,1,,,2019.07.01,oksk****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"병원이 매우 깔끔합니다.
그리고 선생님들도 친절하게 설명해주시고 치료해주셔서 너무 만족합니다."
224483,4500479,"생긴지 얼마 안 됐는지 내부가 아주 깔끔하고
원장님의 친절한 설명 덕분에 제 이빨의 문제점들을 알 수 있었어요
감사합니다!!",5,1,,,2019.03.20,free****,바른약속치과 마포점 진료,바른약속치과의원 마포점,,false,"생긴지 얼마 안 됐는지 내부가 아주 깔끔하고
원장님의 친절한 설명 덕분에 제 이빨의 문제점들을 알 수 있었어요
감사합니다!!"
