bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,resourceUrlList/1,resourceUrlList/2,replyRegDate,resourceUrlList/3
201455,7745082,"예약제라 편했어요 일단
매복되어 있는 이를 발치 하다보니
불편함이 없을 수 없는데 생각보다 간단하고 빠르게 끝냈어요.
마취부터 진료 후 통증까지 
세심하게 설명해주시니 그 점도 참 좋았어요.
집에서 좀 멀지만 소문듣고 찾아간 병원인데 진료 후 관리사항(통증,붓기,마취 지속여부)까지도 체크해 주시니 참 잘 갔다 싶네요 ^^",5,1,,,2019.11.20,pmj1****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,"예약제라 편했어요 일단
매복되어 있는 이를 발치 하다보니
불편함이 없을 수 없는데 생각보다 간단하고 빠르게 끝냈어요.
마취부터 진료 후 통증까지 
세심하게 설명해주시니 그 점도 참 좋았어요.
집에서 좀 멀지만 소문듣고 찾아간 병원인데 진료 후 관리사항(통증,붓기,마취 지속여부)까지도 체크해 주시니 참 잘 갔다 싶네요 ^^",,,,
201455,7732544,"처음에 두려웠는데 간단하게 설명이랑 해주면서 좀 긴장풀고 무사히 수술받았습니다!
시간가는줄도 금방 끝나서 놀랐어요!",5,1,,,2019.11.19,supe****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,"처음에 두려웠는데 간단하게 설명이랑 해주면서 좀 긴장풀고 무사히 수술받았습니다!
시간가는줄도 금방 끝나서 놀랐어요!",,,,
201455,7731327,오른쪽 두 개 뽑고 나서 열흘만에 왼쪽 위 아래 두 개도 마저 발치했어요. 양쪽 다 뽑고나서 붓거나 멍 드는 거 한 번도 없었어요. 오늘 이틀째인데 오른쪽이 많이 아물어서 밥이며 국수며 아무 음식이나 잘 먹고 있어요. 약 잘 챙겨먹어서 통증도 거의 없어요. 안 아프게 잘 뽑으시고 강추합니다.,5,1,,,2019.11.19,heyg****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,오른쪽 두 개 뽑고 나서 열흘만에 왼쪽 위 아래 두 개도 마저 발치했어요. 양쪽 다 뽑고나서 붓거나 멍 드는 거 한 번도 없었어요. 오늘 이틀째인데 오른쪽이 많이 아물어서 밥이며 국수며 아무 음식이나 잘 먹고 있어요. 약 잘 챙겨먹어서 통증도 거의 없어요. 안 아프게 잘 뽑으시고 강추합니다.,,,,
201455,7721568,만족입니다. 원장님도 너무 친절하시고 발치 중간중간에 계속 설명해주시고 안심시켜주시고해서 좋았어요 그리구 무엇보다 안아프고빠르게 빼주셔서 감사함당,5,1,,,2019.11.18,thwj****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,만족입니다. 원장님도 너무 친절하시고 발치 중간중간에 계속 설명해주시고 안심시켜주시고해서 좋았어요 그리구 무엇보다 안아프고빠르게 빼주셔서 감사함당,,,,
201455,7719785,여기 너무 좋아요ㅠㅠㅠ의사선생님 간호사분들도 다 친절하시고 무엇보다 마취랑 발치할 때 하나도 안아파요 한번에 4개 뽑았는데 하루지나서도 얼굴 붓지도 않고 멍도 안들고 별로 아프지도 않아요,5,1,,,2019.11.18,awee****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,여기 너무 좋아요ㅠㅠㅠ의사선생님 간호사분들도 다 친절하시고 무엇보다 마취랑 발치할 때 하나도 안아파요 한번에 4개 뽑았는데 하루지나서도 얼굴 붓지도 않고 멍도 안들고 별로 아프지도 않아요,,,,
201455,7746400,"주변사람들이 사랑니 발치후 엄청아프다고해서 걱정했는데

마취, 발치 다 하나도 안아팟구 지금 3일됐는데 3일내내 안아파서 너무 좋네요 ㅎㅎ

주의사항도 꼼꼼히 알려주셨고 너무 만족합니다 ~",5,1,,,2019.11.18,fell****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,"주변사람들이 사랑니 발치후 엄청아프다고해서 걱정했는데

마취, 발치 다 하나도 안아팟구 지금 3일됐는데 3일내내 안아파서 너무 좋네요 ㅎㅎ

주의사항도 꼼꼼히 알려주셨고 너무 만족합니다 ~",,,,
201455,7673695,이번에도 잘 뽑았습니다~ 감사합니다,5,1,,,2019.11.15,tnwl****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,이번에도 잘 뽑았습니다~ 감사합니다,,,,
201455,7668954,"전반적 분위기 깔끔합니다.
사랑니 뽑는 과정에 대해 선생님이 잘 설명해주시네요. 무통마취하고 과정중에 좀 시리다고 하니 사과까지 하시면서 추가 마취하고 뽑아주셨습니다.
뽑는데는 얼마 안걸렸구요. 처음 뽑는거라 하드하게 해보려고 지혈제 안하고 신경에 가까워서 다른데서는 거부한 사랑니 뽑았는데 생각보다 괜찮네요",5,1,,,2019.11.15,zksw****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,"전반적 분위기 깔끔합니다.
사랑니 뽑는 과정에 대해 선생님이 잘 설명해주시네요. 무통마취하고 과정중에 좀 시리다고 하니 사과까지 하시면서 추가 마취하고 뽑아주셨습니다.
뽑는데는 얼마 안걸렸구요. 처음 뽑는거라 하드하게 해보려고 지혈제 안하고 신경에 가까워서 다른데서는 거부한 사랑니 뽑았는데 생각보다 괜찮네요",,,,
201455,7690285,두번째 방문입니다. 예약시간에 맞춰갔지만 기다려야 했습니다. 하지만 기다려도 좋습니다. 의사선생님의 자상함과 사랑니 빼는 기술이 최고거든요!! 마취도 안아프고 정말 좋습니다. 이번에는 지혈이 잘 안되어 무서웠는데 늦은시간에도 친절하게 상담원께서 상담해주셔서 정말 감사했습니다. 사랑니 뽑는것 부터 시작해서 뽑은 후 까지 관리해주어 좋습니다. 원하는 시간 예약잡기 힘드니 어서 예약하세용~,5,1,,,2019.11.15,bin9****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,두번째 방문입니다. 예약시간에 맞춰갔지만 기다려야 했습니다. 하지만 기다려도 좋습니다. 의사선생님의 자상함과 사랑니 빼는 기술이 최고거든요!! 마취도 안아프고 정말 좋습니다. 이번에는 지혈이 잘 안되어 무서웠는데 늦은시간에도 친절하게 상담원께서 상담해주셔서 정말 감사했습니다. 사랑니 뽑는것 부터 시작해서 뽑은 후 까지 관리해주어 좋습니다. 원하는 시간 예약잡기 힘드니 어서 예약하세용~,,,,
201455,7657878,"어제자로 사랑니 네개 다 뽑고왔는데 말이 필요 없습니다. 상담도 친절하게 자세히 해주십니다. 사실 발치도 두개만 해도 된다고 하셨는데 제가 다 뽑기를 원해서 뽑았습니다. 
 두 개는 평이하게 난 치아였고, 하나는 누웠고, 나머지 하나는 아직 나지도 않은 상태여서 절개를 하신 듯 합니다. 다소 걱정을 했습니다만 발치과정 중에 전혀 힘든 점이 없었네요. 
하루 꼬박지났는데 저는 붓지도 않고 피가 더 나거나 하지도 않았습니다. 침 삼킴, 입벌리는 것도 전혀 불편한게 없어서 오히려 놀랐습니다.
 제일 힘들었던 것을 굳이 꼽아보자면 발치 직후에 거즈 두 시간 물고있는게 제일 답답했습니다.",5,1,,,2019.11.14,sbie****,홍대점 치료방문예약,사랑이아프니치과의원 홍대점,,false,"어제자로 사랑니 네개 다 뽑고왔는데 말이 필요 없습니다. 상담도 친절하게 자세히 해주십니다. 사실 발치도 두개만 해도 된다고 하셨는데 제가 다 뽑기를 원해서 뽑았습니다. 
 두 개는 평이하게 난 치아였고, 하나는 누웠고, 나머지 하나는 아직 나지도 않은 상태여서 절개를 하신 듯 합니다. 다소 걱정을 했습니다만 발치과정 중에 전혀 힘든 점이 없었네요. 
하루 꼬박지났는데 저는 붓지도 않고 피가 더 나거나 하지도 않았습니다. 침 삼킴, 입벌리는 것도 전혀 불편한게 없어서 오히려 놀랐습니다.
 제일 힘들었던 것을 굳이 꼽아보자면 발치 직후에 거즈 두 시간 물고있는게 제일 답답했습니다.",,,,
