bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,
152811,6946138,만족했어요,5,1,,,2019.09.19,hyuk****,진료시간 예약,더스퀘어치과의원,,false,만족했어요,
152811,6861731,친절하고 꼼꼼하게 진료해주셨습니다!!,5,1,,,2019.09.18,pilg****,진료시간 예약,더스퀘어치과의원,,false,친절하고 꼼꼼하게 진료해주셨습니다!!,
152811,6848155,"친절하고 잘 진료해 주시고,치료도 받았습니다.",5,1,,,2019.09.17,smar****,진료시간 예약,더스퀘어치과의원,,false,"친절하고 잘 진료해 주시고,치료도 받았습니다.",
152811,6837038,"빠른 처리해주시는것도 좋았고
첫 방문이라고 이렇게 뭐 챙겨주시는것도 좋네요",5,1,,https://naverbooking-phinf.pstatic.net/20190916_27/1568614752770ttl9s_JPEG/image.jpg,2019.09.16,aura****,진료시간 예약,더스퀘어치과의원,,false,"빠른 처리해주시는것도 좋았고
첫 방문이라고 이렇게 뭐 챙겨주시는것도 좋네요",
152811,6779734,"시설도 쾌적하고 원장님도 매우 친절하셨습니다.
거의 호텔에 방문한 느낌이었어요. 광화문 인근 사무실 근무하시는 분들이나 지역주민들께 적극 추천드립니다.",5,1,,,2019.09.10,kisk****,진료시간 예약,더스퀘어치과의원,,false,"시설도 쾌적하고 원장님도 매우 친절하셨습니다.
거의 호텔에 방문한 느낌이었어요. 광화문 인근 사무실 근무하시는 분들이나 지역주민들께 적극 추천드립니다.",
152811,6788363,리뷰보고 방문했는데 후회없는 선택이었어요! 임플란트때문에 갔는데 설명도 너무친절하게 해주시고 9월까지 이벤트해서 저렴하게 했네용^^ 이벤트 끝나기 전에 엄마도 모시고 가야겠어요 ㅎ 시술은 전혀 아프지않고 꼼꼼히 잘봐주시는거 같아요 너무만족합니당! 시설도 좋아요:),5,1,,,2019.09.09,cjn5****,진료시간 예약,더스퀘어치과의원,,false,리뷰보고 방문했는데 후회없는 선택이었어요! 임플란트때문에 갔는데 설명도 너무친절하게 해주시고 9월까지 이벤트해서 저렴하게 했네용^^ 이벤트 끝나기 전에 엄마도 모시고 가야겠어요 ㅎ 시술은 전혀 아프지않고 꼼꼼히 잘봐주시는거 같아요 너무만족합니당! 시설도 좋아요:),
152811,6857111,"후기 자체를 처음 남겨보네요..! 진료가 너무 좋아서 혹시 치과 어디갈지 고민하는 분들이 있을까 싶어 남겨봐요. 전 무조건 더스퀘어치과의원 추천할래요!!! 치과치료자체가 너무 오랜만이라 가기 전까지 무서워서 걱정이 많았는 데 걱정 할 필요가 없었어요 ㅠ.ㅠ 스케일링도 하나도 안 아프게 꼼꼼히 해 주셔서 너무 감사했습니다. 인레이,레진 치료도 하게 되었는 데 과정마다 뭐 하는지 설명 해주시고 '마취크림 도포'후 마취해서 마취 조차도 무통증이였어요! 앞으로는 걱정없이 치과에 방문 할 수 있을 거 같아요. 앞으로 정기적으로 스케일링도 받으려고 해요! 친절하게 안내해주시고 좋은 진료 덕에 기분 좋게 치료 받았습니다. 다음에 또 뵐게요:):)",5,1,,,2019.09.06,love****,진료시간 예약,더스퀘어치과의원,,false,"후기 자체를 처음 남겨보네요..! 진료가 너무 좋아서 혹시 치과 어디갈지 고민하는 분들이 있을까 싶어 남겨봐요. 전 무조건 더스퀘어치과의원 추천할래요!!! 치과치료자체가 너무 오랜만이라 가기 전까지 무서워서 걱정이 많았는 데 걱정 할 필요가 없었어요 ㅠ.ㅠ 스케일링도 하나도 안 아프게 꼼꼼히 해 주셔서 너무 감사했습니다. 인레이,레진 치료도 하게 되었는 데 과정마다 뭐 하는지 설명 해주시고 '마취크림 도포'후 마취해서 마취 조차도 무통증이였어요! 앞으로는 걱정없이 치과에 방문 할 수 있을 거 같아요. 앞으로 정기적으로 스케일링도 받으려고 해요! 친절하게 안내해주시고 좋은 진료 덕에 기분 좋게 치료 받았습니다. 다음에 또 뵐게요:):)",
152811,6698927,"일단 너무 깔끔하고 리셉션도 너무너무 친절하시고 간호사님을, 의사선생님 모두 너무너무 핵친절하세요. 설명도 너무 친절하게 해주시고 병원도 너무 깨끗하고 쾌적해서 좋아요!!",5,1,,,2019.09.05,inis****,진료시간 예약,더스퀘어치과의원,,false,"일단 너무 깔끔하고 리셉션도 너무너무 친절하시고 간호사님을, 의사선생님 모두 너무너무 핵친절하세요. 설명도 너무 친절하게 해주시고 병원도 너무 깨끗하고 쾌적해서 좋아요!!",
152811,6698667,시설이 좋아서 신뢰감이 갔고.. 예전에도 같은 자리에 금니가 떨어졌었는데 다른 병원에서는 썩지는 않았지만 안정성을 위해 치아를 더 삭제해야된다그래서 좀 망설여지고 속상했었는데.. 여기는 떨어진 금니만 붙여주셔서 감사했습니다.. 좋았습니다!,5,1,,,2019.09.03,doku****,진료시간 예약,더스퀘어치과의원,,false,시설이 좋아서 신뢰감이 갔고.. 예전에도 같은 자리에 금니가 떨어졌었는데 다른 병원에서는 썩지는 않았지만 안정성을 위해 치아를 더 삭제해야된다그래서 좀 망설여지고 속상했었는데.. 여기는 떨어진 금니만 붙여주셔서 감사했습니다.. 좋았습니다!,
152811,6604564,"첫 방문이었는데 너무 좋았습니다. 의사선생님도 그렇고 간호사 선생님도 그렇고 모두 친절하시고 설명도 잘해주셔서 좋았어요.
신경치료때문에 몇번 더 방문해야되는데 믿고 갈 수 있을 것 같습니다.",5,1,,,2019.08.29,92pj****,진료시간 예약,더스퀘어치과의원,,false,"첫 방문이었는데 너무 좋았습니다. 의사선생님도 그렇고 간호사 선생님도 그렇고 모두 친절하시고 설명도 잘해주셔서 좋았어요.
신경치료때문에 몇번 더 방문해야되는데 믿고 갈 수 있을 것 같습니다.",
