bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList/0,body/0/isHighlight,body/0/text,resourceUrlList/1
163999,7757797,"치과교정했어요 부분진행하고 위쪽은 투명교정 쓰고 아래는 설측교정으로진행했어요 
윗앞니넣고싶어서 한건데 아래쪽도 넣어야했더라고요 아래쪽 철사를 정말 정밀하게봐주시면서 꼼꼼하게조여주셨던게 넘좋았어요
투명교정은 편했구요",5,1,,,2019.11.23,tlrh****,ATA치과 예약하기,에이티에이치과의원,,false,"치과교정했어요 부분진행하고 위쪽은 투명교정 쓰고 아래는 설측교정으로진행했어요 
윗앞니넣고싶어서 한건데 아래쪽도 넣어야했더라고요 아래쪽 철사를 정말 정밀하게봐주시면서 꼼꼼하게조여주셨던게 넘좋았어요
투명교정은 편했구요",
163999,7727741,병원도 크고 깔끔하구 오현근원장님 넘 실력이 좋으셔서 믿고 일년반 진행했습니다~~~~^.^!!! 결과도 넘 좋아서 6개월뒤 정기검진도 기대돼요!! 원장님 정말 감사합니다^^!!!,5,1,,,2019.11.20,topa****,ATA치과 예약하기,에이티에이치과의원,,false,병원도 크고 깔끔하구 오현근원장님 넘 실력이 좋으셔서 믿고 일년반 진행했습니다~~~~^.^!!! 결과도 넘 좋아서 6개월뒤 정기검진도 기대돼요!! 원장님 정말 감사합니다^^!!!,
163999,7650723,"앞니 튀어나온 것 때문에 설측으로 부분교정으로 했는데 6개월정도 예상에서 실제로는 9개월 걸렸지만, 일반교정에 비하면 상당히 일찍 끝났고 앞니 아래위로 치열도 고르게되고 튀어나왔던 앞니가 들어가게되서 매우 만족 합니다. 방문 때마다 친절하게 응대해주신 점도 만족스럽습니다.",5,1,,,2019.11.15,chdn****,ATA치과 예약하기,에이티에이치과의원,,false,"앞니 튀어나온 것 때문에 설측으로 부분교정으로 했는데 6개월정도 예상에서 실제로는 9개월 걸렸지만, 일반교정에 비하면 상당히 일찍 끝났고 앞니 아래위로 치열도 고르게되고 튀어나왔던 앞니가 들어가게되서 매우 만족 합니다. 방문 때마다 친절하게 응대해주신 점도 만족스럽습니다.",
163999,7634392,"교정할생각이없었는데 와이프소개로 부부가 둘다같이 설측교정받았습니다.
직원분들 항상 친절하시고 무엇보다 단시간에 예쁘게 치아교정해주신 원장님 너무감사합니다...^^",5,1,,,2019.11.14,yang****,ATA치과 예약하기,에이티에이치과의원,,false,"교정할생각이없었는데 와이프소개로 부부가 둘다같이 설측교정받았습니다.
직원분들 항상 친절하시고 무엇보다 단시간에 예쁘게 치아교정해주신 원장님 너무감사합니다...^^",
163999,7564784,"원장님 위생사 그리고 데스크 직원분들까지 너무나도 다들 친절하세요

2년반 동안 많으면 일주일에 한번 적게는 한달에 한번 뵜던 분들이신데 참 감사했습니다 

교정 또한 만족스러웠구요~
교정외에 치아와 관련된 여러가지 많은 정보 및 시술 친절하게 설명해주시고 치료해주셔서 감사합니다 

다들 행복하세여",5,1,,,2019.11.09,zini****,ATA치과 예약하기,에이티에이치과의원,,false,"원장님 위생사 그리고 데스크 직원분들까지 너무나도 다들 친절하세요

2년반 동안 많으면 일주일에 한번 적게는 한달에 한번 뵜던 분들이신데 참 감사했습니다 

교정 또한 만족스러웠구요~
교정외에 치아와 관련된 여러가지 많은 정보 및 시술 친절하게 설명해주시고 치료해주셔서 감사합니다 

다들 행복하세여",
163999,7465016,5개월동안 설측으로 부분교정 했습니다! 걱정을 많이 했었는데 아프지도 않고 다니는동안 병원 직원분들 너무 친절하셔서 기분좋게 치료받았어요! ㅎㅎ 결과는 더 만족스럽습니다 !! 감사합니당,5,1,,,2019.11.02,love****,ATA치과 예약하기,에이티에이치과의원,,false,5개월동안 설측으로 부분교정 했습니다! 걱정을 많이 했었는데 아프지도 않고 다니는동안 병원 직원분들 너무 친절하셔서 기분좋게 치료받았어요! ㅎㅎ 결과는 더 만족스럽습니다 !! 감사합니당,
163999,7464145,디지털교정했는데 짧은시간에 이쁘게 잘됐네용 7개월동안 감사합니다,5,1,,,2019.11.06,baby****,ATA치과 예약하기,에이티에이치과의원,,false,디지털교정했는데 짧은시간에 이쁘게 잘됐네용 7개월동안 감사합니다,
163999,7456946,매우친절하시고 잘해주셔서 짧은시간에 교정이되어 너무 기뻐요?? 마음에들게 잘해주셔서 매우만족하고 기쁩니다!,5,1,,,2019.11.01,mick****,ATA치과 예약하기,에이티에이치과의원,,false,매우친절하시고 잘해주셔서 짧은시간에 교정이되어 너무 기뻐요?? 마음에들게 잘해주셔서 매우만족하고 기쁩니다!,
163999,7450629,"의사 선생님과 직원분들 다 친절하십니다.
교정 끝났는데 완전 만족스럽고 뿌듯합니다! 
번창하세요~ 감사합니다~^^",5,1,,,2019.11.01,edww****,ATA치과 예약하기,에이티에이치과의원,,false,"의사 선생님과 직원분들 다 친절하십니다.
교정 끝났는데 완전 만족스럽고 뿌듯합니다! 
번창하세요~ 감사합니다~^^",
163999,7431893,최고!최고!교정계의최고의치과!,5,1,,,2019.10.30,jang****,ATA치과 예약하기,에이티에이치과의원,,false,최고!최고!교정계의최고의치과!,
