bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
198142,6926941,넘 친절해용:),5,1,,,2019.09.23,gii2****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,넘 친절해용:)
198142,6849737,"사랑니 검사하고 스케일링 했는데 병원에 계신 모든 직원분들이 너무 친절하셨어요~~!!
스케일링도 엄청 세심하게 해주시고 치실쓰는법이랑 양치할때 주의할거도 알려주셔서 좋았어요!!",5,1,,,2019.09.17,yeeu****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,"사랑니 검사하고 스케일링 했는데 병원에 계신 모든 직원분들이 너무 친절하셨어요~~!!
스케일링도 엄청 세심하게 해주시고 치실쓰는법이랑 양치할때 주의할거도 알려주셔서 좋았어요!!"
198142,6391712,소아치과 진료도 아주 좋았습니다^^,5,1,,,2019.08.16,sunn****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,소아치과 진료도 아주 좋았습니다^^
198142,6228113,항상 친절하시고 치료도 넘 잘하고 환경도 좋고 여기만 고집하고 있어요^^,5,1,,,2019.08.07,lian****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,항상 친절하시고 치료도 넘 잘하고 환경도 좋고 여기만 고집하고 있어요^^
198142,6049609,좋아요 친절하시고,5,1,,,2019.07.29,geun****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,좋아요 친절하시고
198142,6039164,사랑니 통증이 너무 심해 방문했는데 직원분들이 친철하시고 원장님도 꼼꼼히 잘해주셔서 너무 감사합니다. 사랑니발치가 5분도 안걸린다는걸 알았으면 미리 갈걸 그동안 왜 참았나 후회가 되네요 ㅜ 친절하게 해주셔 감사합니다~ 다음주에 또 예약했어요.,5,1,,,2019.07.30,cho4****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,사랑니 통증이 너무 심해 방문했는데 직원분들이 친철하시고 원장님도 꼼꼼히 잘해주셔서 너무 감사합니다. 사랑니발치가 5분도 안걸린다는걸 알았으면 미리 갈걸 그동안 왜 참았나 후회가 되네요 ㅜ 친절하게 해주셔 감사합니다~ 다음주에 또 예약했어요.
198142,5406828,스케일링 잘 받고 갑니다. 아플꺼라고 생각하고 미루고 미루다가 간건데 하나도 안 아파서 좋았어요~,5,1,,,2019.06.12,kjh7****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,스케일링 잘 받고 갑니다. 아플꺼라고 생각하고 미루고 미루다가 간건데 하나도 안 아파서 좋았어요~
198142,5412061,매복 사랑니 뺐는데 겁이 많은 편이라 출발할 때 부터 도착하고 나서까지 덜덜 떨면서 있었음 근데 거기 계신 치위생사 선생님들이랑 인포에 계신 선생님들이 너무 착하셔서 긴장이 꽤나 많이 풀림 그 상태로 의자에 누워있는데 의사 선생님까지 너무 착하시고 심지어 어제 본 삼촌 마냥 편하게 대해주셔서 무서운 마음이 싸악 가심 그래서 그런지 잘 놔주신건지는 모르겠지만 마취 주사 1도 안아팠고 뺄 때도 안아픔 진짜 1분만에 쑥 빠진 듯 마취 풀리니까 아프긴 했는데 그 전에는 뭐.. 무서워 했던게 민망해서 웃으면서 나옴 사랑니 고민이신 분 여기서 빼세요 앞으로 치과는 여기로 다닐 예정 후후,5,1,,,2019.06.05,zhsf****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,매복 사랑니 뺐는데 겁이 많은 편이라 출발할 때 부터 도착하고 나서까지 덜덜 떨면서 있었음 근데 거기 계신 치위생사 선생님들이랑 인포에 계신 선생님들이 너무 착하셔서 긴장이 꽤나 많이 풀림 그 상태로 의자에 누워있는데 의사 선생님까지 너무 착하시고 심지어 어제 본 삼촌 마냥 편하게 대해주셔서 무서운 마음이 싸악 가심 그래서 그런지 잘 놔주신건지는 모르겠지만 마취 주사 1도 안아팠고 뺄 때도 안아픔 진짜 1분만에 쑥 빠진 듯 마취 풀리니까 아프긴 했는데 그 전에는 뭐.. 무서워 했던게 민망해서 웃으면서 나옴 사랑니 고민이신 분 여기서 빼세요 앞으로 치과는 여기로 다닐 예정 후후
198142,5314955,치료를 잘 받았습니다!!!,5,1,,,2019.06.03,shao****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,치료를 잘 받았습니다!!!
198142,4920890,스케일링 받았어요 친절하시고 많이 아프지 않아 좋았습니다. 사랑니를 뽑아야하는데.... 좀만 더 미루다가 갈게요 ㅎㅎ ㅠㅠ,5,1,,,2019.05.03,hgbh****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,스케일링 받았어요 친절하시고 많이 아프지 않아 좋았습니다. 사랑니를 뽑아야하는데.... 좀만 더 미루다가 갈게요 ㅎㅎ ㅠㅠ
198142,4602388,위치도찾기쉬웠고 오픈한지얼마안된느낌이라 깨끗했어요 상담해주신분 친절 ????????짱짱,5,1,,,2019.04.02,chqk****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,위치도찾기쉬웠고 오픈한지얼마안된느낌이라 깨끗했어요 상담해주신분 친절 ????????짱짱
198142,4493962,친절하구우 깨끗해서 좋앗음 !,5,1,,,2019.03.21,k_ji****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,친절하구우 깨끗해서 좋앗음 !
198142,4436416,친절하십니다,4,1,,,2019.03.13,ymz1****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,친절하십니다
198142,4376476,치과가 너무 깨끗하네요... 치료 잘 받고 갑니다~~,5,1,,,2019.03.07,sana****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,치과가 너무 깨끗하네요... 치료 잘 받고 갑니다~~
198142,4361110,직원분들이 너무나 친절하네요 치과도 너무 깨끗하고 깔끔하고. 씌운 어금니에 구멍이 나서 갔는데 원장님이 너무 꼼꼼하게 봐주시고 친절하게 설명을 해주셔서 감사헸습니다. 앞으로 계속 다닐려구요~~,5,1,,,2019.03.05,bele****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,직원분들이 너무나 친절하네요 치과도 너무 깨끗하고 깔끔하고. 씌운 어금니에 구멍이 나서 갔는데 원장님이 너무 꼼꼼하게 봐주시고 친절하게 설명을 해주셔서 감사헸습니다. 앞으로 계속 다닐려구요~~
198142,4230575,원장님부터 직원분들까지 너무 친절하고 좋네요~!!!그리고 원장님이 실력이 좋으셔서 그런지 설명도 잘해주시더라고요~!!앞으로 스케일링 받으러 갈때에도 자주 방문하려구요~!!,5,1,,,2019.02.21,hund****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,원장님부터 직원분들까지 너무 친절하고 좋네요~!!!그리고 원장님이 실력이 좋으셔서 그런지 설명도 잘해주시더라고요~!!앞으로 스케일링 받으러 갈때에도 자주 방문하려구요~!!
198142,4216294,갑자기 앞니가 깨져서 예약하고 방문드렸는데 너무 친절하시고 연신 괜찮냐고 물어 보는 모습에 감동 받았습니다. 역시 잘한다고 입소문 난 치과는 다르네요...치과 내부가 너무 깨끗해서 막 개원하셨나 생각했는데 벌써 2년이 넘었다고 하는데 놀랐습니다. 다음 정기점검때 찾아 뵐게요~,5,1,,,2019.02.19,hong****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,갑자기 앞니가 깨져서 예약하고 방문드렸는데 너무 친절하시고 연신 괜찮냐고 물어 보는 모습에 감동 받았습니다. 역시 잘한다고 입소문 난 치과는 다르네요...치과 내부가 너무 깨끗해서 막 개원하셨나 생각했는데 벌써 2년이 넘었다고 하는데 놀랐습니다. 다음 정기점검때 찾아 뵐게요~
198142,4161499,어머니가 정기적으로 다니시는데  친절하게 진료 잘한다고 말씀하셔서 치료 받아 보니 역시 너무 친절하시네요.과잉 진료도 없고... 너무 잘해 주셔서 감사합니다.챙겨주신 볼펜도 잘쓸게요~,5,1,,https://naverbooking-phinf.pstatic.net/20190212_85/1549956350191Obe47_JPEG/KakaoTalk_20190212_162516159.jpg,2019.02.13,poin****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,어머니가 정기적으로 다니시는데  친절하게 진료 잘한다고 말씀하셔서 치료 받아 보니 역시 너무 친절하시네요.과잉 진료도 없고... 너무 잘해 주셔서 감사합니다.챙겨주신 볼펜도 잘쓸게요~
198142,4067841,"사랑니 뽑는데 진짜 생각보다 안아프게 잘해주셔서 살았습니다. 예전에 다른데서 뽑을 땐 진짜 눈물나게 아팠었는데 여기 의사선생님이 실력이 좋은가봐요.
매년 스캘링 받아야하는 이유랑 양치하는 법도 꼼꼼히 알려주시는 친절함까지!
상왕십리역에서 바로인 점도 좋아요~",5,1,,,2019.02.07,the_****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,"사랑니 뽑는데 진짜 생각보다 안아프게 잘해주셔서 살았습니다. 예전에 다른데서 뽑을 땐 진짜 눈물나게 아팠었는데 여기 의사선생님이 실력이 좋은가봐요.
매년 스캘링 받아야하는 이유랑 양치하는 법도 꼼꼼히 알려주시는 친절함까지!
상왕십리역에서 바로인 점도 좋아요~"
198142,4067858,상세하게 진료에 대해서 설명해 주셔서 두려움 없이 치료를 받았네요 그리고 개인적으로 마취 할때 하나도 아프지 않아서 걱정보다 편하게 진료를 받은거 같습니다. 간호사분들도 친절하고 특히 의사 선생님이 친근감에 치과에 대한 편견이 사라졌네요. 안아프고 가격도 좋고 환자를 대하는 부분도 만족스럽고 생각보다 더 좋았네요. 저희 가족들도 다 데리고 갈테니 앞으로도 관리 잘 부탁드립니다^^,5,1,,,2019.02.07,dohy****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,상세하게 진료에 대해서 설명해 주셔서 두려움 없이 치료를 받았네요 그리고 개인적으로 마취 할때 하나도 아프지 않아서 걱정보다 편하게 진료를 받은거 같습니다. 간호사분들도 친절하고 특히 의사 선생님이 친근감에 치과에 대한 편견이 사라졌네요. 안아프고 가격도 좋고 환자를 대하는 부분도 만족스럽고 생각보다 더 좋았네요. 저희 가족들도 다 데리고 갈테니 앞으로도 관리 잘 부탁드립니다^^
198142,3872347,간호사선생님들부터 의사산생님까지 다 너무 친절하시고 과잉진료도 전혀 없는 것 같고 꼭 필요한 치료만 얘기해주시네요~ 다 너무 좋았습니다~,5,1,,,2019.01.08,yjy6****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,간호사선생님들부터 의사산생님까지 다 너무 친절하시고 과잉진료도 전혀 없는 것 같고 꼭 필요한 치료만 얘기해주시네요~ 다 너무 좋았습니다~
198142,3829268,"아이가 안심할수 있게 진료 해주셔서 좋았어요.
키즈치과처럼 아이들이 편하게 치료받을수 있는 공간이 있어 좋았어요.
다음 치료 아이가  치료잘받았으면 좋겠어요.",5,1,,,2019.01.02,tajo****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,"아이가 안심할수 있게 진료 해주셔서 좋았어요.
키즈치과처럼 아이들이 편하게 치료받을수 있는 공간이 있어 좋았어요.
다음 치료 아이가  치료잘받았으면 좋겠어요."
198142,3820938,다른 치과에서 임플란트를 해야 한다고 해서 비용적 부분 때문에 많이 속상해 하고 있었는데...혹시나 하는 마음에 방문해 보니 임플란트를 안하고 자연치아를 살릴수 있다고 해서 너무나 감사했습니다. 덕분에 저렴하게 잘 치료 받고 갑니다..원장님과 간호사 분들 너무 친절하시네요...,5,1,,,2019.01.03,sd22****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,다른 치과에서 임플란트를 해야 한다고 해서 비용적 부분 때문에 많이 속상해 하고 있었는데...혹시나 하는 마음에 방문해 보니 임플란트를 안하고 자연치아를 살릴수 있다고 해서 너무나 감사했습니다. 덕분에 저렴하게 잘 치료 받고 갑니다..원장님과 간호사 분들 너무 친절하시네요...
198142,3676980,"직원분들 모두 친절하시고, 스케일링 안아프게 잘 받았습니다. 만족합니다. ^_^",5,1,,,2018.12.15,star****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,"직원분들 모두 친절하시고, 스케일링 안아프게 잘 받았습니다. 만족합니다. ^_^"
198142,3648565,진료잘받았습니다,5,1,,,2018.12.11,jyki****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,진료잘받았습니다
198142,3625819,깨끗하고 친절하네요~치료잘받았습니다~,4,1,,,2018.12.07,yang****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,깨끗하고 친절하네요~치료잘받았습니다~
198142,3621853,의사 선생님이 친절하게 설명을 잘해주셔서 안심하고 편하게 치료 잘 받고 갑니다~,5,1,,,2018.12.07,worl****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,의사 선생님이 친절하게 설명을 잘해주셔서 안심하고 편하게 치료 잘 받고 갑니다~
198142,3608269,시간이 없어 치과를 오랫동안 가지 못했는데 네이버 예약 서비스가 있어 처음으로 이용해 보니 너무 편하네요...예약 서비스를 하자마자 바로 친절하게 전화까지 해주시고 너무 편했습니다. 직원분들이 너무 친절하시네요...덕분에 진료 잘 받고 갑니다. 번창하세요~,5,1,,,2018.12.04,6kie****,연세고마운치과 왕십리점,연세고마운 치과의원,,false,시간이 없어 치과를 오랫동안 가지 못했는데 네이버 예약 서비스가 있어 처음으로 이용해 보니 너무 편하네요...예약 서비스를 하자마자 바로 친절하게 전화까지 해주시고 너무 편했습니다. 직원분들이 너무 친절하시네요...덕분에 진료 잘 받고 갑니다. 번창하세요~
