bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,replyRegDate,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text
78349,7744401,주말에도 치과가 열려있어 좋고 친절하게 진료를 봐주셔서 좋았습니다,5,1,"안녕하세요.예미안 치과 입니다.
발치 부위는 잘 아물고 계신가요? 
주의사항 잘 지켜주시고 이번주 일요일에 뵙겠습니다. 
더욱더 친절하고 정확한 진료를 하겠습니다. 감사합니다.",2019.11.21 20:10:11,,2019.11.17,peng****,신규환자 예약,예미안치과의원,,false,주말에도 치과가 열려있어 좋고 친절하게 진료를 봐주셔서 좋았습니다
78349,7411928,직장이 서초일 때 사랑니 발치 치료 받았는데 원장님 솜씨가 너무 좋으셔서 3년만에 일산에서 교대까지 다시 찾아 간 곳! 이번에도 사랑니 발치 완벽해서 봉합도 진통제 마저 필요없다고 하시니 역시 믿고 갈수 있어요. 직원분들 너무 친절하시고 마음도 편하게 해주십니다. 어제도 오늘도 통증하나 없이 잘 지내고 있습니다. 가기전에 무서웠는데 전혀 아프지 않게 해주셔서 감사합니다! :),5,1,감사합니다. 언제나 믿음에 보답하여 완벽한 편안한 진료를 하도록 하겠습니다. 오늘부로 치료는 마무리 되셨으니 3개월뒤 검진때 뵙겠습니다.^^,2019.11.01 11:34:06,,2019.10.27,shin****,신규환자 예약,예미안치과의원,,false,직장이 서초일 때 사랑니 발치 치료 받았는데 원장님 솜씨가 너무 좋으셔서 3년만에 일산에서 교대까지 다시 찾아 간 곳! 이번에도 사랑니 발치 완벽해서 봉합도 진통제 마저 필요없다고 하시니 역시 믿고 갈수 있어요. 직원분들 너무 친절하시고 마음도 편하게 해주십니다. 어제도 오늘도 통증하나 없이 잘 지내고 있습니다. 가기전에 무서웠는데 전혀 아프지 않게 해주셔서 감사합니다! :)
78349,7241879,스케일링을 안아프게 꼼꼼하게 해주세요:) 편안한 진료였어요~,5,1,"이 마모가 많이 되셔서, 이를 무는 습관을 신경쓰셔야 할 것 같습니다.
정기적인 관리가 필요하며, 다음 내원시 체크 한번 더 하겠습니다.
감사합니다. ",2019.10.21 12:11:10,,2019.10.10,dksw****,신규환자 예약,예미안치과의원,,false,스케일링을 안아프게 꼼꼼하게 해주세요:) 편안한 진료였어요~
78349,7061598,결국 다시 인레이하느라 돈 들었지만 공휴일 빠른 치료 좋았습니다.,4,1,"감사합니다. 진료하신 인레이는 꼭 필요한 진료이기에 진행을 해야 했습니다. 이전 치아가 충치가 다시 너무 깊게 생겨서 오래전 해놓은 아말감,금은 사용 할 수 없는 상태였습니다. 병원마다 비용은 차이가 있을 수 있고 그 비용은 환자분께선 비싸게 느끼실 수 있겠지만, 저희는 절대 과잉진료 없고 최대한 살리는 방향으로
정확히 잘 진료 해드릴것을 약속드립니다. 감사합니다.",2019.10.21 12:05:08,,2019.10.03,fore****,신규환자 예약,예미안치과의원,,false,결국 다시 인레이하느라 돈 들었지만 공휴일 빠른 치료 좋았습니다.
78349,7072797,사랑니가 아픈줄 알고 찾아갔는데 아니었어요 ㅠ 자세한 진료 감사합니다. 직원분들도 친절하고 원장님도 최대한 치아를 살리는 쪽으로 설명잘해주셔서 너무 좋았습니다.,5,1," 여러번 변경이 되었음에도 불구하고 잘 이해해 주셔서 너무 감사드립니다.
잘 마무리 되길 바라며,불편함이 있을 시 언제든 연락 주세요 감사합니다.",2019.10.21 12:07:02,,2019.10.01,ona1****,신규환자 예약,예미안치과의원,,false,사랑니가 아픈줄 알고 찾아갔는데 아니었어요 ㅠ 자세한 진료 감사합니다. 직원분들도 친절하고 원장님도 최대한 치아를 살리는 쪽으로 설명잘해주셔서 너무 좋았습니다.
78349,6936996,항상 친절한 병원임,5,1,"감사합니다. 앞으로도 계속 친절한 병원이 되도록 하겠습니다.
한국 들어오시면 관리 받으러 내원해주세요.",2019.10.21 11:48:20,,2019.09.23,2beb****,스케일링,예미안치과의원,,false,항상 친절한 병원임
78349,6921198,엄청 친절해요!,5,1,"진행중이던 치아를 저희가 임시로 해드렸는데,
마무리 잘 되셨기를 바랍니다.",2019.10.21 11:47:30,,2019.09.22,song****,기타 치과진료,예미안치과의원,,false,엄청 친절해요!
78349,6891571,친절하시고 넘 좋네요! 앞으로도 서초 치과는 여기로 :),5,1,"감사합니다. 앞으로 구강관리 더욱더 신경써서 해주시고,
다음 정기검진때 내원해주세요.",2019.10.21 11:46:40,,2019.09.20,yese****,스케일링,예미안치과의원,,false,친절하시고 넘 좋네요! 앞으로도 서초 치과는 여기로 :)
78349,6858038,"친절하게 설명해주시고 치료진행상황을 환자가 잘 알 수 있게 해주셨습니다.
회사 근처라 이제 계속 여기로 다닐 것 같네요!",5,1,"안녕하세요. 답변이 늦어 죄송합니다.
오래된 아말감을 제거 하고 인레이 치료로 잘 마무리 되어 다행입니다.
처음 떨어졌을때 처럼 캬라멜 등의 음식은 조심해 주세요.
감사합니다.",2019.10.21 11:43:25,,2019.09.16,adam****,신규환자 예약,예미안치과의원,,false,"친절하게 설명해주시고 치료진행상황을 환자가 잘 알 수 있게 해주셨습니다.
회사 근처라 이제 계속 여기로 다닐 것 같네요!"
78349,6840541,친절 / 과잉진료 없음 / 설명 잘해주심 / 가격 안내부터 해주심... 걱정 하는 부분들을 다 알아서 먼저 해주시는 곳 처음이예요 ㅋㅋㅋ,5,1,"안녕하세요, 답변이 늦어 죄송합니다.
치료가 잘 마무리 되어 다행입니다. 혹시라도 정기검진전 사용하는데
불편함이 있으시면 언제든 다시 내원해주세요. 감사합니다.",2019.10.21 11:39:38,,2019.09.05,vivi****,기타 치과진료,예미안치과의원,,false,친절 / 과잉진료 없음 / 설명 잘해주심 / 가격 안내부터 해주심... 걱정 하는 부분들을 다 알아서 먼저 해주시는 곳 처음이예요 ㅋㅋㅋ
