bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,resourceUrlList/1
259552,7768192,"친절했어요
엘베는 뒤쪽있어요",5,1,,https://naverbooking-phinf.pstatic.net/20191123_270/157446762085654mXx_JPEG/image.jpg,2019.11.22,love****,티유치과의원,티유치과의원,,false,"친절했어요
엘베는 뒤쪽있어요",
259552,7755535,"다들 너무 친절하셔가지규... 몸둘바를...
미백하고 왔는데 좋아요!효과가 좋네요!",5,1,,,2019.11.21,josu****,티유치과의원,티유치과의원,,false,"다들 너무 친절하셔가지규... 몸둘바를...
미백하고 왔는데 좋아요!효과가 좋네요!",
259552,7448634,"치과온게 아닌 어느 비싼 고급호텔에 체크인하러가는 듯한 기분이 들었습니다! 그만큼 치과 방문할땐 아플까봐  많이 겁내하는편인데 분위기도 좋고 직원분들도 하나같이 친절하게 안내해주셨어요~!
평소 고민하던 교정과 미백치료받고 누렇던 이가 새하얗게 변한모습을 보니 기분까지 좋아지더라구요:D
감사합니다~~",5,1,,https://naverbooking-phinf.pstatic.net/20191031_67/1572480449130mV8VT_JPEG/image.jpg,2019.10.30,ssro****,티유치과의원,티유치과의원,,false,"치과온게 아닌 어느 비싼 고급호텔에 체크인하러가는 듯한 기분이 들었습니다! 그만큼 치과 방문할땐 아플까봐  많이 겁내하는편인데 분위기도 좋고 직원분들도 하나같이 친절하게 안내해주셨어요~!
평소 고민하던 교정과 미백치료받고 누렇던 이가 새하얗게 변한모습을 보니 기분까지 좋아지더라구요:D
감사합니다~~",
259552,7455216,강남권이라 가격 비쌀까봐 걱정했는데 가격두 적당하구 미백효과 잘 나오네요!! 2년 정도 후에??  다시 착색되면 또 갈것 같아요 ㅋㅋ,5,1,,,2019.10.21,skyu****,티유치과의원,티유치과의원,,false,강남권이라 가격 비쌀까봐 걱정했는데 가격두 적당하구 미백효과 잘 나오네요!! 2년 정도 후에??  다시 착색되면 또 갈것 같아요 ㅋㅋ,
259552,7238680,"빨간날에 이가 아파서 걱정했는데 공휴일 진료를 해서 너무 다행이었어요 ㅠㅠ
덕분이 치료 잘 하고 왔어요
시설도 좋고 직원분들도 진짜 친절하셔서 기분좋게 받고 왔네요
추천합니다",5,1,,,2019.10.15,peac****,티유치과의원,티유치과의원,,false,"빨간날에 이가 아파서 걱정했는데 공휴일 진료를 해서 너무 다행이었어요 ㅠㅠ
덕분이 치료 잘 하고 왔어요
시설도 좋고 직원분들도 진짜 친절하셔서 기분좋게 받고 왔네요
추천합니다",
259552,7233954,직장인이라 점심시간에 가기엔 애매할때도 있는데 공휴일도 진료하니 쉬는날에도 방문할수 있어 좋네요 ㅎㅎ 다들 친절해서 리뷰남길게요,5,1,,,2019.10.15,sksr****,티유치과의원,티유치과의원,,false,직장인이라 점심시간에 가기엔 애매할때도 있는데 공휴일도 진료하니 쉬는날에도 방문할수 있어 좋네요 ㅎㅎ 다들 친절해서 리뷰남길게요,
259552,7234068,"교정 고민하다가 회사 근처에 있어서 상담받고 왔어요!
원장님께서 꼼꼼하게 상담해주셔서 가장 빠른 날짜로 교정 예약했어요
무엇보다 교정하면 자주 가야하니까 역에서 가깝고 친절한게 최고인듯 합니다ㅋㅋ!!",5,1,,,2019.10.15,euna****,티유치과의원,티유치과의원,,false,"교정 고민하다가 회사 근처에 있어서 상담받고 왔어요!
원장님께서 꼼꼼하게 상담해주셔서 가장 빠른 날짜로 교정 예약했어요
무엇보다 교정하면 자주 가야하니까 역에서 가깝고 친절한게 최고인듯 합니다ㅋㅋ!!",
259552,7233901,"인테리어에 눈뽕당했어요~ 인테리어도 그렇지만, 무엇보다 원장쌤이 설명을 잘해주셨어요~ 처음부터 끝까지 만족하고 왔네욤!!",5,1,,,2019.10.15,kang****,티유치과의원,티유치과의원,,false,"인테리어에 눈뽕당했어요~ 인테리어도 그렇지만, 무엇보다 원장쌤이 설명을 잘해주셨어요~ 처음부터 끝까지 만족하고 왔네욤!!",
259552,7233758,"데스크 언니들도 너무 친절하시고 너무 좋았어요
세심한 진료도 좋았구요!",5,1,,,2019.10.15,t_eh****,티유치과의원,티유치과의원,,false,"데스크 언니들도 너무 친절하시고 너무 좋았어요
세심한 진료도 좋았구요!",
259552,7233603,회사가 강남이라서 집 근처 가서 치료받을까 회사 근처에서 치료받을까 고민했는데 티유치과로 오길 잘한 거 같아요 아직 치료받을게 더 있는데 ㅠㅠ 앞으로 티유치과 가겠습니다 친절하시고 깔끔한 인테리어 모두 만족합니다!!!! 감사합니다 ㅎㅎㅎ,5,1,,,2019.10.15,spel****,티유치과의원,티유치과의원,,false,회사가 강남이라서 집 근처 가서 치료받을까 회사 근처에서 치료받을까 고민했는데 티유치과로 오길 잘한 거 같아요 아직 치료받을게 더 있는데 ㅠㅠ 앞으로 티유치과 가겠습니다 친절하시고 깔끔한 인테리어 모두 만족합니다!!!! 감사합니다 ㅎㅎㅎ,
