bookingBusinessId,reviewId,reviewBody,score,isImp,replyBody,resourceUrlList/0,completedDate,id,bookingItemName,bookingBusinessName,optionNameList,body/0/isHighlight,body/0/text,resourceUrlList/1,replyRegDate
158179,7739384,"친구한테 추천받아서 간 치과인데, 매복사랑니 안 아프면서도 깔끔하게 잘 뽑아주셨고 안내와 주의사항도 친절하게 알려주셔서 너무 좋았습니다 !! 발치 후에도 전화로 상태 확인전화해주시고 ㅠㅠ 다음에도 라이크치과  갈 생각입니다 ㅎㅎ 치과는 라이크치과로 가세용 완전 강추합니다 ????",5,1,,,2019.11.19,jjw5****,라이크치과,라이크치과의원,,false,"친구한테 추천받아서 간 치과인데, 매복사랑니 안 아프면서도 깔끔하게 잘 뽑아주셨고 안내와 주의사항도 친절하게 알려주셔서 너무 좋았습니다 !! 발치 후에도 전화로 상태 확인전화해주시고 ㅠㅠ 다음에도 라이크치과  갈 생각입니다 ㅎㅎ 치과는 라이크치과로 가세용 완전 강추합니다 ????",,
158179,7732580,"사랑니 잘 뽑는곳이라는 얘기를 들어서 매복사랑니 발치하러 갔어요. 제가 치과공포증이 있어서(특히 마취주사) 너무 무서웠는데 주사 맞기 전에 마취크림도 발라주시고 순식간에 뽑아주신데다가 주의사항도 꼼꼼하게 알려주시고, 거즈 뺄 시간에 전화도 주셔서 정말 좋은곳이라는 생각이 들었어요.",5,1,,,2019.11.19,dg94****,라이크치과,라이크치과의원,,false,"사랑니 잘 뽑는곳이라는 얘기를 들어서 매복사랑니 발치하러 갔어요. 제가 치과공포증이 있어서(특히 마취주사) 너무 무서웠는데 주사 맞기 전에 마취크림도 발라주시고 순식간에 뽑아주신데다가 주의사항도 꼼꼼하게 알려주시고, 거즈 뺄 시간에 전화도 주셔서 정말 좋은곳이라는 생각이 들었어요.",,
158179,7721092,"꼼꼼하게 진료도 잘봐주시고, 다들 정말 친절하세요!",5,1,,,2019.11.18,popm****,라이크치과,라이크치과의원,,false,"꼼꼼하게 진료도 잘봐주시고, 다들 정말 친절하세요!",,
158179,7722871,매복사랑니 발치가 많이 아프고 잘못하면 신경을 건드릴수있다는 말을 들어서 수소문하다가 여기서 사랑니 4개 모두 뽑았는데 정말 이렇게 안아파도되나싶을정도예요 의사선생님도 친절하시고 매복사랑니도 최소한으로 째려하고하시는것같아요 3시간뒤에 병원 진료 끝난시간임에도 연락와서 괜찮은지 상태확인해시고 사진찍어서 봐주시는 모습에 감동받았습니다 간호사분들도 엄청 자세하게 유의할점 알려주시고 친절하시고 너무 좋았어요 주변 사람들한테 다 여기만 추천하고있습니다,5,1,,,2019.11.18,sua9****,라이크치과,라이크치과의원,,false,매복사랑니 발치가 많이 아프고 잘못하면 신경을 건드릴수있다는 말을 들어서 수소문하다가 여기서 사랑니 4개 모두 뽑았는데 정말 이렇게 안아파도되나싶을정도예요 의사선생님도 친절하시고 매복사랑니도 최소한으로 째려하고하시는것같아요 3시간뒤에 병원 진료 끝난시간임에도 연락와서 괜찮은지 상태확인해시고 사진찍어서 봐주시는 모습에 감동받았습니다 간호사분들도 엄청 자세하게 유의할점 알려주시고 친절하시고 너무 좋았어요 주변 사람들한테 다 여기만 추천하고있습니다,,
158179,7687243,친구한테 추천받아서 집에서 30분 거리인데도 믿고 갔습니당. 사랑니 발치 했는데 마취 주사 맞는 것만 쪼금 아파서 찔끔하고 발치 할 때는 괜찮았어요. 별 느낌도 안나고 위 아래 두개 한번에 뺐는데 저 같은 경우는 붓기도 저녁 되니까 사랑니 뺀 사람이라고는 믿기지 않을 정도로 금방 가라앉더라구요! 첫날엔 냉찜질을 자주 해주는게 도움이 크게 된 것 같아요. 동네 병원에서는 잇몸뼈가 사랑니 나는걸 막고 있어서 어려운 발치라고 했는데 여기선 금방 통으로 쏙 빼주시더라구요. 거즈 뺄 시간에 맞춰서 전화도 주시고 진짜 믿음직스러웠어요?? 거즈 빼니까 갑자기 통증이 와서 죽 후딱 먹고 약 먹고 바로 잤어요 그렇게 하니까 금새 통증은 가라앉았어요 ㅎㅎ 나머지 하나도 여기서 뺄거에요오 그때도 잘 부탁드려요 감사합니다~,5,1,,,2019.11.16,qhrt****,라이크치과,라이크치과의원,,false,친구한테 추천받아서 집에서 30분 거리인데도 믿고 갔습니당. 사랑니 발치 했는데 마취 주사 맞는 것만 쪼금 아파서 찔끔하고 발치 할 때는 괜찮았어요. 별 느낌도 안나고 위 아래 두개 한번에 뺐는데 저 같은 경우는 붓기도 저녁 되니까 사랑니 뺀 사람이라고는 믿기지 않을 정도로 금방 가라앉더라구요! 첫날엔 냉찜질을 자주 해주는게 도움이 크게 된 것 같아요. 동네 병원에서는 잇몸뼈가 사랑니 나는걸 막고 있어서 어려운 발치라고 했는데 여기선 금방 통으로 쏙 빼주시더라구요. 거즈 뺄 시간에 맞춰서 전화도 주시고 진짜 믿음직스러웠어요?? 거즈 빼니까 갑자기 통증이 와서 죽 후딱 먹고 약 먹고 바로 잤어요 그렇게 하니까 금새 통증은 가라앉았어요 ㅎㅎ 나머지 하나도 여기서 뺄거에요오 그때도 잘 부탁드려요 감사합니다~,,
158179,7672019,사랑니 발치가 유명하다는 추천을 듣고 집에서 1시간 거리를 찾아갔습니다! 마취크림을 먼저 발라주셔서 마취주사도 크게 아프지 않았고 동네 병원에서는 어렵다했던 발치였는데 여기 의사샘은 1분..? 정말 빠른 시간에 발치해주셔서 턱만 살짝 뻐근했지 전혀 아프지않았어요! 그동안 발치에 쫄아있던 제가 후회됐을 정도에요 ㅠㅠ 신촌에 다른 유명한 치과에서도 발치를 했었는데 그곳에서는 발치 후 아무런 후치료가 없었지만 라이크치과에서는 거즈 뺄 시간에 상태가 어떠시냐고 전화도 주시고 너무 감명깊었습니다.. ㅠ 통증도 처방받은 약을 제때 먹어서 그런지 거의 없었고 붓기도 완전 적은 편입니다! 라이크치과 완전 추천드려요~!~!,5,1,,,2019.11.15,gina****,라이크치과,라이크치과의원,,false,사랑니 발치가 유명하다는 추천을 듣고 집에서 1시간 거리를 찾아갔습니다! 마취크림을 먼저 발라주셔서 마취주사도 크게 아프지 않았고 동네 병원에서는 어렵다했던 발치였는데 여기 의사샘은 1분..? 정말 빠른 시간에 발치해주셔서 턱만 살짝 뻐근했지 전혀 아프지않았어요! 그동안 발치에 쫄아있던 제가 후회됐을 정도에요 ㅠㅠ 신촌에 다른 유명한 치과에서도 발치를 했었는데 그곳에서는 발치 후 아무런 후치료가 없었지만 라이크치과에서는 거즈 뺄 시간에 상태가 어떠시냐고 전화도 주시고 너무 감명깊었습니다.. ㅠ 통증도 처방받은 약을 제때 먹어서 그런지 거의 없었고 붓기도 완전 적은 편입니다! 라이크치과 완전 추천드려요~!~!,,
158179,7669458,사랑니 뽑고 지혈 확인 전화도 주시더라구요 친절하셔서 좋아요,5,1,,,2019.11.15,tree****,라이크치과,라이크치과의원,,false,사랑니 뽑고 지혈 확인 전화도 주시더라구요 친절하셔서 좋아요,,
158179,7652702,친절해서 좋았어요 ㅎㅎ,5,1,,,2019.11.12,mick****,라이크치과,라이크치과의원,,false,친절해서 좋았어요 ㅎㅎ,,
158179,7633808,저는 아기엄마라 아기를 떼어놓고 갈수가 없어서 유모차를 끌고 아이와 함께 방문하였습니다. 아이때문에 진료를 볼 수 없자 보호자가 올때까지 대기하겠다고 죄송스럽게 말했는데 라이크치과 간호사분들이 제가 치료받는 30분넘는 시간동안 카운터에서 아기를 봐주셔서 무사히 진료를 받을 수 있었습니다. 아직 못걷는 아기라 잠깐 돌보는것도 힘드실텐데 끝까지 저와 아기를 먼저 생각해주시는 마음에 치과를 나온 이후에도 너무 감사했습니다.. 사랑니 3개 다 불편 없이 발치하였고 치과하면 무섭기도하지만 비용이 많이 나올까 걱정인데 과잉진료비가 나온적이 없습니다(치료를 많이받아도 진료비가 적게나와서 놀랐습니다??)후처치 방법도 차근히 설명해주시고 발치후 궁금한사항이 있어 늦은시간 전화드렸는데도 친절하게 답변해주셔서 너무 감사합니다.,5,1,,,2019.11.12,duso****,라이크치과,라이크치과의원,,false,저는 아기엄마라 아기를 떼어놓고 갈수가 없어서 유모차를 끌고 아이와 함께 방문하였습니다. 아이때문에 진료를 볼 수 없자 보호자가 올때까지 대기하겠다고 죄송스럽게 말했는데 라이크치과 간호사분들이 제가 치료받는 30분넘는 시간동안 카운터에서 아기를 봐주셔서 무사히 진료를 받을 수 있었습니다. 아직 못걷는 아기라 잠깐 돌보는것도 힘드실텐데 끝까지 저와 아기를 먼저 생각해주시는 마음에 치과를 나온 이후에도 너무 감사했습니다.. 사랑니 3개 다 불편 없이 발치하였고 치과하면 무섭기도하지만 비용이 많이 나올까 걱정인데 과잉진료비가 나온적이 없습니다(치료를 많이받아도 진료비가 적게나와서 놀랐습니다??)후처치 방법도 차근히 설명해주시고 발치후 궁금한사항이 있어 늦은시간 전화드렸는데도 친절하게 답변해주셔서 너무 감사합니다.,,
158179,7635473,"강남 수많은 병원 제쳐두고 
1시간 걸려서 신촌까지 간 것 후회없습니다. 

사랑니 발치했고, 현재 2일차인데 붓기도 없고 통증도 없습니다. 
뽑을 때도 마취주사도 안 아팠어요.",5,1,,,2019.11.12,zook****,라이크치과,라이크치과의원,,false,"강남 수많은 병원 제쳐두고 
1시간 걸려서 신촌까지 간 것 후회없습니다. 

사랑니 발치했고, 현재 2일차인데 붓기도 없고 통증도 없습니다. 
뽑을 때도 마취주사도 안 아팠어요.",,
